Actual,Predicted,Continent
0.4539760947227478,0.4161433522071457,Africa
15.2312536239624,12.837681623612134,North America
16.43135452270508,13.55110566387101,Asia
0.3126793503761292,0.2123984282530312,Africa
5.921699523925781,6.43650116586496,Europe
8.428370475769043,5.934247050181029,Asia
0.3534181714057922,0.7825045424757733,Africa
0.05052546039223671,0.0856174065073553,Africa
6.94288444519043,6.972106369926819,Asia
0.4739508032798767,0.7511645378544923,Africa
0.2236235439777374,0.17124252009684482,Africa
9.76266098022461,9.412654506314198,Asia
1.571857333183289,3.9784530605314283,Europe
0.2766233682632446,0.3311549581219516,Africa
0.2480051815509796,0.36700534873136464,Asia
1.900676727294922,2.0068851197219164,South America
0.4248679876327515,0.42660003552503056,Africa
1.930600523948669,1.986564627145147,South America
3.980598449707031,5.125785570182497,Asia
0.2917476892471313,0.24803855523364113,Africa
2.672476053237915,3.2593943671101613,Africa
1.015671133995056,2.4066207207338124,North America
2.648410797119141,3.1206390370821206,Asia
4.964403629302979,3.2745715008179337,South America
2.686473608016968,2.6891869067723437,Africa
6.622390270233154,7.373005437415743,Europe
3.228214263916016,4.563294108957525,Europe
5.132001399993896,5.458657747652796,Europe
0.3608613014221191,0.40590415972684113,Asia
0.124162994325161,0.16545056649181367,Africa
1.468586444854736,1.4235188935574086,Africa
0.1575678288936615,0.6149145213558378,Africa
15.93465805053711,17.067226125278168,North America
9.436406135559082,9.89198689305593,Asia
0.7252073287963867,0.46032545832687033,Africa
9.642186164855957,9.998901366977467,Europe
8.492473602294922,8.26441764382401,Europe
0.5955474972724915,0.7310272947180839,Africa
0.5084272027015686,0.6130595533426793,Asia
1.929520130157471,2.8326076359133885,South America
4.612112522125244,5.237752752665016,South America
3.368326902389526,3.5708017023243595,Europe
2.894788026809692,2.876965670079466,North America
0.3383632302284241,0.5632675482167138,Africa
7.240007400512695,8.238830293133145,Oceania
6.061766147613525,5.607040388343828,Europe
27.74286460876465,31.227144184006598,North America
0.1035262495279312,0.12079916231771785,Africa
3.510911464691162,3.8334568479052513,Asia
2.49335789680481,2.9083188649491656,Asia
6.361860275268555,6.549480052287617,Europe
1.332243204116821,0.7195021658612129,Asia
1.669094920158386,2.2867014289498324,Africa
9.57946491241455,9.793997725225283,Europe
0.4105989634990692,1.9686651471943133,Asia
0.862959086894989,0.9709152155664319,North America
7.449976444244385,8.193739683217471,Asia
22.12873268127441,29.270921346066494,Asia
25.23540306091309,25.37124759091271,Asia
2.419788360595703,2.5484889256902155,South America
0.2583021521568298,0.2833830348927068,Africa
0.1247816979885101,0.1528479039482181,Africa
0.8726166486740112,1.198910342204429,Africa
0.2062408626079559,0.2551911947365318,Africa
4.683609485626221,5.386102128267288,Europe
2.385590791702271,2.5276310850774903,South America
0.4122410118579865,0.38525366515274106,Africa
0.6785630583763123,0.7112149381665954,Asia
1.150002837181091,1.5943229084166277,South America
3.872514724731445,4.345382968018065,Europe
6.444787979125977,6.672517597124519,Europe
15.55618476867676,17.855226312629764,Europe
2.351348161697388,1.9425717992153222,Asia
6.341861724853516,5.947178516195794,Europe
5.853915691375732,8.597419561885653,Asia
8.598358154296875,8.601616048468488,Europe
4.328454494476318,2.5246868081633407,South America
6.258016109466553,4.845682191399355,Europe
3.022076606750488,5.56982921535439,Europe
1.51934278011322,1.4309771150613122,Asia
3.875288486480713,5.604663523474382,Africa
12.43549633026123,12.526856999721362,Asia
0.8892925381660461,0.9369817428494258,Africa
10.41109943389893,17.81091855435774,Europe
0.6420559287071228,0.7399517120209833,Africa
4.794758796691895,5.502625636135637,Europe
2.690881252288818,2.835509940907122,North America
0.4609367847442627,0.4531516847012062,Africa
1.096632242202759,1.42921216389395,Africa
8.807806015014648,8.902203826776313,Europe
7.982070446014404,4.3101854441085505,Africa
3.679176568984985,4.869808202240202,Europe
3.916748285293579,4.070151875447659,North America
3.361059427261353,3.678853630671425,Africa
2.837353944778442,2.3917128438793473,Africa
4.181182384490967,5.533661433125299,Asia
0.6713986396789551,0.6918902107662859,Asia
1.608575582504272,2.0032300819536997,North America
0.134215384721756,0.2274152090663888,Africa
2.411968946456909,2.0233089532066906,Africa
0.1581471711397171,0.18954884356267157,Africa
11.17672729492188,11.146908538159874,Europe
0.09200512617826462,0.22532210121597576,Africa
3.518994808197021,4.150198767007342,Asia
8.651652336120605,8.431810280937997,Africa
16.83793449401855,17.13350132266301,Oceania
2.56479811668396,2.738746935035501,North America
5.941187381744385,6.399149126802172,Asia
4.566406726837158,6.741163997788277,Europe
1.750474452972412,5.201758366724026,Asia
2.374728918075562,2.0794306856736773,Asia
1.575139403343201,0.9850918349685174,Asia
8.802538871765137,15.367699974945618,Asia
7.464491367340088,8.160295234384993,Asia
4.86266040802002,6.546274183534441,Europe
0.6983577609062195,1.8451437625056095,Asia
11.87973117828369,17.414045162814,Asia
7.692761898040771,6.69614713971009,Europe
1.055922865867615,1.617870424571771,North America
5.037182807922363,2.7501525542483183,Africa
0.08826082944869995,0.33190925693807627,Africa
0.8028613328933716,0.9710199392402457,Asia
0.06677624583244324,0.13696861400313318,Africa
6.444709777832031,6.7039532033943,Europe
13.24840259552002,14.017681434396712,Europe
1.515639066696167,1.5296138135398192,Europe
2.465222358703613,2.4522891036824235,North America
4.370736122131348,5.276169918479686,Europe
0.03814133629202843,0.05512449593122103,Africa
4.008553981781006,4.936493236675151,Asia
4.364320278167725,5.71962086287028,Europe
2.287876129150391,4.69180643384324,North America
2.473293304443359,2.3689640945735437,North America
0.2233389914035797,0.18527187492269728,Africa
1.707277297973633,1.819510714215892,South America
